Estacao	Data	Hora	TempBulboSeco	TempBulboUmido	UmidadeRelativa	PressaoAtmEstacao	DirecaoVento	VelocidadeVento	Nebulosidade
83513	16/04/1993	1200	27.6	26.5	91	sv	14	1	2
83513	16/04/1993	1800	34.1	27.9	61	sv	0	0	4
83513	17/04/1993	0	26.6	25.3	90	sv	0	0	0
83513	17/04/1993	1200	27.2	25.3	85	sv	36	1	2
83513	17/04/1993	1800	34.5	26.7	53	sv	36	1	2
83513	18/04/1993	0	27	25.7	90	sv	0	0	0
83513	18/04/1993	1200	27.6	25.1	81	sv	9	1	0
83513	18/04/1993	1800	34.1	26.1	51	sv	0	0	2
83513	19/04/1993	0	26.6	25.7	93	sv	0	0	0
83513	19/04/1993	1200	25	23.3	86	sv	36	1	2
83513	19/04/1993	1800	34.3	26.1	50	sv	36	2	0
83513	20/04/1993	0	26.4	25.5	93	sv	36	1	0
83513	20/04/1993	1200	27.2	24.1	76	sv	36	1	2
83513	20/04/1993	1800	33.1	27.1	61	sv	36	1	4
83513	21/04/1993	0	26.2	24.1	83	sv	0	0	0
83513	21/04/1993	1200	24.6	23.1	87	sv	18	5	6
83513	21/04/1993	1800	27.2	24.1	76	sv	18	1	6
83513	22/04/1993	0	24.6	23.3	89	sv	18	1	10
83513	22/04/1993	1200	24.4	22.1	81	sv	18	1	8
83513	22/04/1993	1800	26.1	24.1	84	sv	18	1	8
83513	23/04/1993	0	22.6	21.3	89	sv	18	1	10
83513	23/04/1993	1200	22.4	21.1	88	sv	18	2	10
83513	23/04/1993	1800	24.4	22.1	81	sv	18	2	10
83513	24/04/1993	0	22.2	21.1	90	sv	18	2	6
83513	24/04/1993	1200	22.2	21.1	90	sv	18	5	10
83513	25/04/1993	1200	24.6	22.5	83	sv	36	2	2
83513	25/04/1993	1800	31.5	25.3	59	sv	36	1	2
83513	26/04/1993	0	24.4	23.5	92	sv	36	1	0
83513	26/04/1993	1200	25.4	24.1	89	sv	36	2	1
83513	26/04/1993	1800	32.1	26.1	61	sv	36	3	4
83513	27/04/1993	0	25.4	24.1	89	sv	36	2	1
83513	27/04/1993	1200	27.2	25.1	84	sv	0	0	1
83513	27/04/1993	1800	34.9	26.5	50	sv	36	1	3
83513	28/04/1993	0	26.2	25.1	91	sv	0	0	0
83513	28/04/1993	1200	26.2	23.3	77	sv	36	5	1
83513	28/04/1993	1800	32.3	24.3	49	sv	36	1	2
83513	29/04/1993	0	24.2	23.1	91	sv	18	2	0
83513	29/04/1993	1200	24.4	21.5	76	sv	36	5	0
83513	29/04/1993	1800	33.1	26.1	56	sv	36	1	3
83513	30/04/1993	0	25.2	24.1	91	sv	9	1	2
83513	30/04/1993	1200	25.2	23.1	83	sv	9	5	2
83513	30/04/1993	1800	33.1	25.3	51	sv	9	5	3
83513	01/05/1993	0	25.2	24.1	91	sv	9	5	2
83513	01/05/1993	1200	26.2	22.1	68	sv	9	2	0
83513	01/05/1993	1800	34.1	25.2	46	sv	9	5	4
83513	02/05/1993	0	24.2	23.1	91	sv	9	2	4
83513	02/05/1993	1200	23.6	22.1	87	sv	9	2	3
83513	02/05/1993	1800	33.5	27.3	60	sv	27	5	4
83513	03/05/1993	0	25.2	24.1	91	sv	27	1	4
83513	03/05/1993	1200	24.6	24.1	96	sv	27	2	5
83513	03/05/1993	1800	31.5	25.1	58	sv	36	3	3
83513	04/05/1993	0	25.2	23.1	83	sv	36	1	2
83513	04/05/1993	1200	24.2	22.1	82	sv	36	1	0
83513	04/05/1993	1800	32.1	25.5	57	sv	36	2	3
83513	05/05/1993	0	25.4	24.1	89	sv	36	1	6
83513	05/05/1993	1200	18	17.1	91	sv	18	3	10
